,AF7,AF3,Fp1,FP2,AF4,AF8,F7,F5,F3,F1,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FC2,FC4,FC6,FT8,T3,C5,C3,C1,C2,C4,C6,T4,TP7,CP5,CP3,CP1,CP2,CP4,CP6,TP8,T5,P5,P3,P1,P2,P4,P6,T6,FPz,PO7,PO3,O1,O2,PO4,PO8,Oz,AFz,Fz,FCz,Cz,CPz,Pz,POz
AF7,0.0,0.037175086846632156,0.029694840232804193,0.08586372144379266,0.09592471566304889,0.11106996384492045,0.02971207916712904,0.034863104929776456,0.05273902769169034,0.0731005395064325,0.10870746646992617,0.12141071615439591,0.12991922989422983,0.13365302833127876,0.05865133411444794,0.06328375831670247,0.07847083733387859,0.09763144278187005,0.13254075306813543,0.14449925324415314,0.15146861031451728,0.15300922241707612,0.0861376875466178,0.09166823455698195,0.10512562558918975,0.12213476434618002,0.15330856676004137,0.16352751980149352,0.16875908272870435,0.16857346180468263,0.11150901238105392,0.1178019613763039,0.12954072863810287,0.14374825538059924,0.16940902141283787,0.17749319182251452,0.18114899548565938,0.1800484663409191,0.13416599663507484,0.1405833654635501,0.150109990259925,0.16095824408892284,0.17990817516984903,0.1857535333799128,0.18820767742079314,0.187078877519274,0.058650401753862165,0.15354681119854174,0.165889387889117,0.16913689420795838,0.18734856517796944,0.1879854326422004,0.18953308196354574,0.18057395212259894,0.07038861140086233,0.09225910558675915,0.11647226107258889,0.13897913876058293,0.15769286767886181,0.17134299488425855,0.1791016190763364
AF3,0.037175086846632156,0.0,0.028874948790074365,0.07031802265598833,0.07037343477924003,0.09587709151343299,0.0597516404630697,0.043191874889228536,0.035120483607185886,0.042084569277439324,0.07662336022895593,0.09382749008583449,0.10854411106405919,0.11966567765290605,0.0847509869673846,0.07295334311487982,0.06903589401635803,0.07487190535789869,0.10341548631489582,0.11870203569743043,0.13159129706196895,0.14082485534713296,0.10891011522180812,0.10160274070505387,0.10059600178134301,0.10624813163805745,0.1293399615646559,0.14162018875625948,0.15178389189492392,0.1586183786522378,0.13097364113443913,0.12754224684705143,0.1286204124005261,0.13396581999314539,0.151776963880017,0.1608348656304253,0.16810992230789593,0.17267571274026502,0.1501574918056902,0.14976102208291875,0.15208815230779907,0.1567437509319201,0.16927264132231296,0.17525448653599912,0.17983194061305496,0.18252801061585683,0.04444446456176199,0.16589016958763328,0.17022474635539805,0.17768332796917022,0.18889974547190785,0.18419738194708138,0.18799109805718892,0.18523161866721327,0.03721639426923412,0.058289078681937244,0.08777493618689906,0.11671863636068402,0.142243889002889,0.16281531708962407,0.177353292508222
Fp1,0.029694840232804193,0.028874948790074365,0.0,0.058414963764584674,0.07031802265598833,0.08581359047448468,0.05867620699710224,0.05664289481798604,0.06071929770458999,0.06929440913000211,0.09060618704453191,0.09985119107592944,0.10697874084189078,0.11119158617150939,0.086174169227986,0.08665288153761225,0.09196349812442857,0.10053589339999762,0.11971493498689031,0.1272676338624977,0.13215393289328725,0.13388608529500712,0.11154500745879355,0.11417334460927239,0.12039194838073619,0.12873045353012225,0.14520872427408094,0.15080656422745148,0.15359069530634584,0.15323475047834448,0.13417808769073308,0.13827193561228662,0.14474391895572583,0.1523123554108475,0.1656007940476365,0.16938394378975535,0.1705137448249239,0.16887460463854406,0.15353799536595497,0.1581823258402106,0.16406063881175945,0.17025139776284656,0.17993631300034443,0.18224486819708796,0.182352456588643,0.18032017385048715,0.02968520575966168,0.16914138825886407,0.17768610925436198,0.18057396189643415,0.18978935721312182,0.1888995540353359,0.18735613719807998,0.18757151770751088,0.04913330298427019,0.0799129530333616,0.11039908129177865,0.13747619796503055,0.15962068428764092,0.17579179959120228,0.18523447550164268
FP2,0.08586372144379266,0.07031802265598833,0.058414963764584674,0.0,0.028874948790074365,0.029639031846747946,0.11125312061965736,0.1069682013712182,0.09990264839991432,0.09056584054547444,0.06936316739209684,0.06069644869675305,0.05667827392664995,0.058603885968595774,0.13388608529500712,0.13215393289328725,0.1272676338624977,0.11971493498689031,0.10053589339999762,0.09196349812442857,0.08665288153761225,0.086174169227986,0.15323475047834448,0.15359069530634584,0.1508072061908008,0.14519390388289813,0.12871128948520688,0.12039308208416098,0.11417334460927239,0.11154500745879355,0.16882942591521666,0.1705137448249239,0.16938394378975535,0.1656007940476365,0.1523123554108475,0.14474391895572583,0.13827193561228662,0.13424817315772644,0.18029956911840472,0.18235901677686736,0.1822360905764093,0.17995995430807224,0.1702329402636746,0.16409325648340153,0.15818030792587856,0.15357692008914658,0.02968520575966168,0.18734804843830352,0.1888995540353359,0.18978935721312182,0.18057396189643415,0.17768610925436198,0.1691641475738392,0.18757151770751088,0.04913330298427019,0.0799129530333616,0.11039908129177865,0.13747619796503055,0.15962068428764092,0.17579179959120228,0.18523447550164268
AF4,0.09592471566304889,0.07037343477924003,0.07031802265598833,0.028874948790074365,0.0,0.03713800858567002,0.11972311158666352,0.10855828801266561,0.09389129893731633,0.07660087948151383,0.042157266183861765,0.03507864195761639,0.04318070931958029,0.05968903990163463,0.14082485534713296,0.13159129706196895,0.11870203569743043,0.10341548631489582,0.07487190535789869,0.06903589401635803,0.07295334311487982,0.0847509869673846,0.1586183786522378,0.15178389189492392,0.14162191085103104,0.12931210679319893,0.10622966441160224,0.10059637135435358,0.10160274070505387,0.10891011522180812,0.17263588462696414,0.16810992230789593,0.1608348656304253,0.151776963880017,0.13396581999314539,0.1286204124005261,0.12754224684705143,0.13104247952999945,0.182510894127509,0.17985267786613235,0.1752524114654125,0.16930650827225177,0.15671571719426888,0.1521202616256208,0.149743173990502,0.15019643980981118,0.04444446456176199,0.18798599727539414,0.18419738194708138,0.18889974547190785,0.17768332796917022,0.17022474635539805,0.16591290068033052,0.18523161866721327,0.03721639426923412,0.058289078681937244,0.08777493618689906,0.11671863636068402,0.14224388900288898,0.16281531708962407,0.177353292508222
AF8,0.11106996384492045,0.09587709151343299,0.08581359047448468,0.029639031846747946,0.03713800858567002,0.0,0.13366730469154156,0.12987241462463978,0.12142247203635705,0.10864676328470152,0.07314881419980535,0.05275594108613933,0.03496295187858713,0.029692801920682226,0.15297659539454875,0.15143497991299776,0.1444680829911934,0.13251568552205686,0.097630984704646,0.07848996909233634,0.06332532155487106,0.05870509432060161,0.16854840612666627,0.16873378172764097,0.1635068122288299,0.15326665364462674,0.12210699815036911,0.10515485009870172,0.09171098221578618,0.0861880702927888,0.18000068696891297,0.18113269513999106,0.17748079550970008,0.1694036586631446,0.14376473628842942,0.12957009946743725,0.11784246109352911,0.111634926408772,0.18705996453568668,0.1882072352104299,0.18575342481900733,0.1799336699158415,0.1609660757602127,0.15018263803460422,0.140622700910808,0.13425281708086859,0.05859666321466945,0.18953308196354574,0.18799128582338726,0.18735768468205286,0.16916265037713146,0.16591524463530397,0.1536095221123825,0.18059152921021865,0.07034386079409338,0.09223031405892641,0.11645726294083536,0.13897506856514738,0.15769733046839032,0.1713538758470659,0.17911687381027064
F7,0.02971207916712904,0.0597516404630697,0.05867620699710224,0.11125312061965736,0.11972311158666352,0.13366730469154156,0.0,0.029619456191093844,0.058191378831521506,0.08456364811456275,0.12671728244519453,0.14089464206774663,0.14978737206513662,0.15290187020136406,0.0296692990601832,0.043414721907936604,0.07101050482655816,0.09908693440072891,0.14449337665827208,0.1590827587314113,0.16718918582657236,0.16843643536824685,0.0585960218496105,0.06873521577808853,0.09118907228203837,0.11661548837465961,0.15943153442245328,0.1729508321482712,0.17988673758040383,0.1798209685143156,0.0860828638905925,0.095144996829454,0.11293769181521121,0.1337903163680485,0.1701791166630159,0.1817159267130277,0.18740227569064843,0.18683423771427618,0.11148130511413692,0.11976714903528039,0.1331395388967152,0.1485972089716529,0.17600156871407008,0.1849339109292857,0.18946934687690675,0.18926143426306535,0.08618918409708098,0.13416483004074714,0.1501555228059422,0.15353120564829112,0.1803000798608763,0.1825091546689787,0.18705970524340773,0.16912889996277256,0.09375374698994918,0.10767944893989312,0.12415142225345918,0.14014361550808258,0.15368330866636828,0.16349329811345306,0.16876492499560142
F5,0.034863104929776456,0.043191874889228536,0.05664289481798604,0.1069682013712182,0.10855828801266561,0.12987241462463978,0.029619456191093844,0.0,0.029693784889434423,0.058278113808134156,0.1077116689309751,0.12670314984198686,0.14093825640977828,0.14973901209477983,0.0472216781360083,0.0325705654158048,0.04644156495147467,0.0730219955044683,0.12459958518437113,0.1443350265051758,0.15837983864076058,0.16602650560941737,0.07164256120180042,0.06422950068453212,0.07431451304803015,0.09535056229583624,0.14137236099195033,0.15945364712658044,0.17202669150029243,0.1782369444276403,0.0964646318981019,0.09395394860893193,0.10253597843555001,0.11869736371798154,0.15582939626623946,0.1708515696190142,0.18124668180664597,0.18613864186201678,0.11976465794821431,0.12079635541906265,0.12813926581135945,0.13990584682783888,0.1666359562453375,0.17776840006393474,0.18560915144167986,0.18947805036402038,0.0815987968568757,0.14058010054354203,0.149757235210613,0.1581742551364486,0.18235857665023858,0.1798504227632855,0.18820666216250856,0.1720564849542538,0.07722562030675086,0.08460074680035741,0.10027911822629447,0.11916607735290664,0.13764569107163035,0.15348253200025913,0.16522924420542862
F3,0.05273902769169034,0.035120483607185886,0.06071929770458999,0.09990264839991432,0.09389129893731633,0.12142247203635705,0.058191378831521506,0.029693784889434423,0.0,0.029719307151069057,0.08457870925391746,0.10767710675895498,0.12672881885484588,0.14089679091156518,0.07380294498156835,0.048227020681060856,0.03514384127489854,0.048570893322465385,0.1007487057907337,0.12454081987297089,0.1438357162731901,0.15751915713478237,0.09354721811888278,0.07548277633621718,0.06912484923029409,0.0784528341941685,0.12035085304158691,0.141390352605227,0.15863353862600563,0.170618938412036,0.11394045246461423,0.10294265227464945,0.10067417373685915,0.10809897403846755,0.13956088237412714,0.15624105098369673,0.1701758372953568,0.17987948793450775,0.13314576936551994,0.1281477502391556,0.12863977877628005,0.13458105035764215,0.15611007583001998,0.16778819872128542,0.17775227711975725,0.18495477053778897,0.07752151473791727,0.15011447201820802,0.15209129588527703,0.16405992149004733,0.1822380918403756,0.17525287396731984,0.18575369120358196,0.17448862715244037,0.05974723486040074,0.0582598358402401,0.0742307933502028,0.09789446808960928,0.12238708889957085,0.14442964994220472,0.16215338359779483
F1,0.0731005395064325,0.042084569277439324,0.06929440913000211,0.09056584054547444,0.07660087948151383,0.10864676328470152,0.08456364811456275,0.058278113808134156,0.029719307151069057,0.0,0.05819308327395339,0.08451901313265435,0.1076632817992538,0.12666152946803214,0.10025890438205166,0.0741672806479305,0.04931089998385975,0.03692082101569843,0.0746503536371429,0.10071965391536865,0.12418593547868685,0.14323015523645813,0.11726642451437576,0.09601629185772993,0.07882670981957776,0.0724663981294304,0.09876405015901248,0.12013667880368083,0.14048850211260294,0.157326650737222,0.1337788770704292,0.11879228125750767,0.10815395868703546,0.10522554405321573,0.12362164734611741,0.13932162100597023,0.15502527693760568,0.16843520399130318,0.1485972089716529,0.13990746282248406,0.13457678667130646,0.1339248757128894,0.1459800250297883,0.1561458483118138,0.16662857335508055,0.1760359979279716,0.07465103679906707,0.16095759840630453,0.15674267456588986,0.17024810841236993,0.17996001945463558,0.1693064583797497,0.1799338136658097,0.17610393066472899,0.04436817111607678,0.02966944238300932,0.04975230425673748,0.08063602618554788,0.1110511415716687,0.138068660991635,0.16007915971979694
