,AF7,AF3,Fp1,FP2,AF4,AF8,F7,F5,F3,F1,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FC2,FC4,FC6,FT8,T3,C5,C3,C1,C2,C4,C6,T4,TP7,CP5,CP3,CP1,CP2,CP4,CP6,TP8,T5,P5,P3,P1,P2,P4,P6,T6,FPz,PO7,PO3,O1,O2,PO4,PO8,Oz,AFz,Fz,FCz,Cz,CPz,Pz,POz
AF7,0.0,0.03741645915898164,0.029817077026914548,0.08909292476817911,0.10055328059438745,0.11862854526899286,0.029834530565634693,0.03506176164818152,0.05344087759550337,0.0750358979260988,0.115732478506594,0.13170846018749044,0.14305819488986857,0.14824211759215264,0.05962518397629669,0.06451643312217092,0.08089259643783267,0.10253658663635117,0.1466835120037994,0.16418227907800725,0.17530317400115392,0.17787819747965924,0.089400166512983,0.09565854833727698,0.11139928667137926,0.13265170498485807,0.1783840355848278,0.19695141016730483,0.2077507397345926,0.20734755611639752,0.11917024441859564,0.12706361345802467,0.14254013608072527,0.1630297601572254,0.20917569685052143,0.2291284180116183,0.24022910293394714,0.23668510766073708,0.14896520152494852,0.15825863841541116,0.17307000489230712,0.1920132292421589,0.23624735563220217,0.25820575295143977,0.2723331840751025,0.2650914072970295,0.059624203744212116,0.17878794414555063,0.20169054654296104,0.2085765312264074,0.2666724197796463,0.2707584824200166,0.2851283304881652,0.23835210772701407,0.07210710385187935,0.09633378596702276,0.12537475953089336,0.15589006862120788,0.18601767331048605,0.21354648782480765,0.23378606174024952
AF3,0.03741645915898164,0.0,0.028987269025826524,0.07203111372388397,0.07209076490723532,0.10049811346991247,0.06078313819907423,0.04357280562803115,0.035323619451067934,0.04243651639726063,0.0788688761072007,0.09813263179769943,0.11553337444938583,0.1294509184318891,0.08784760891365143,0.0748764540867501,0.07065296689723605,0.07695907512903412,0.10935354174150083,0.12821355572752377,0.14536284705070232,0.1586179967261407,0.11597967734177629,0.10720053921484325,0.10601149238451145,0.11275005486125998,0.14226587786515243,0.15980687272286945,0.1758263650758975,0.18768777513575044,0.14450842159911506,0.1398262425029931,0.14128594009052714,0.14868270559731045,0.1758148479023796,0.19178125945726715,0.20634781995120427,0.21668468892395792,0.17314751061349193,0.17250185583012664,0.1763330877652475,0.18432736075631445,0.2088749539100785,0.22310337406327255,0.23601072107557408,0.2449895041250759,0.044860099116188955,0.20169214991583947,0.21099449237780102,0.22966325847118252,0.27799400840470617,0.25137359367059303,0.2707975180262591,0.25579435428588093,0.037458581633575884,0.0592444519819405,0.09124159543182678,0.1256867968495956,0.16074503764701983,0.19556121834707868,0.2287373942332588
Fp1,0.029817077026914548,0.028987269025826524,0.0,0.059376729773198515,0.07203111372388397,0.08903673220349666,0.05965133454831418,0.0575173719777737,0.061803427691899865,0.07093052581973466,0.09444816386286148,0.10513478860160563,0.11363272049936021,0.11877849150874155,0.08944109827202848,0.08997862155769086,0.09599580473454837,0.10594064646746433,0.12951434235478443,0.13945607521573583,0.14614438440518107,0.14857029761405452,0.11921470483320594,0.12248198422428064,0.13038781750339717,0.1414355006712983,0.16527864101091513,0.17421068808202003,0.17886247173017217,0.1782591287552797,0.14898227823374124,0.15485593692013214,0.16455952577346178,0.17670763885319607,0.20110024594918707,0.20912032584688853,0.21164733670076769,0.20800249966157475,0.1787729772150168,0.18689816133841064,0.1980033917798308,0.21105450800003192,0.2363349159184686,0.24397912066027233,0.2443608827595517,0.23754154631964608,0.029807322726468275,0.2085863961591297,0.22967111153569605,0.23835213914775782,0.28950372959813114,0.2779922270478254,0.2667179355345835,0.2680408459739438,0.04969807671720232,0.08247909254079024,0.11780294982988683,0.15369943606385972,0.18952193982129079,0.2245068489516724,0.25580718845346206
FP2,0.08909292476817911,0.07203111372388397,0.059376729773198515,0.0,0.028987269025826524,0.029760575631512572,0.11885438889474728,0.1136199677115855,0.10519527754100674,0.09440226491763266,0.07100437595477292,0.06177931470990378,0.05755443760359761,0.059575301716425146,0.14857029761405452,0.14614438440518107,0.13945607521573583,0.12951434235478443,0.10594064646746433,0.09599580473454837,0.08997862155769086,0.08944109827202848,0.1782591287552797,0.17886247173017217,0.17421174345207022,0.1652556621881468,0.14140944638146621,0.1303892829482132,0.12248198422428064,0.11921470483320594,0.20790396354862184,0.21164733670076769,0.20912032584688853,0.20110024594918707,0.17670763885319607,0.16455952577346178,0.15485593692013214,0.14908129307515436,0.23747619216220206,0.24438424546143564,0.24394808927365827,0.2364085758647365,0.21101293995857162,0.1980680784332086,0.1868945187299384,0.1788390732070123,0.029807322726468275,0.2666693159879853,0.2779922270478254,0.28950372959813114,0.23835213914775782,0.22967111153569605,0.2086363707207638,0.2680408459739438,0.04969807671720232,0.08247909254079024,0.11780294982988683,0.15369943606385972,0.18952193982129079,0.2245068489516724,0.25580718845346206
AF4,0.10055328059438745,0.07209076490723532,0.07203111372388397,0.028987269025826524,0.0,0.03737865087995974,0.12952487223684508,0.115550648119039,0.0982060205444587,0.07884430973168735,0.042511068349659425,0.03528104502988088,0.04356133995180018,0.060717195523371285,0.1586179967261407,0.14536284705070232,0.12821355572752377,0.10935354174150083,0.07695907512903412,0.07065296689723605,0.0748764540867501,0.08784760891365143,0.18768777513575044,0.1758263650758975,0.15980945594280843,0.14222785587473222,0.11272778010074898,0.10601192802764325,0.10720053921484325,0.11597967734177629,0.21658927342220688,0.20634781995120427,0.19178125945726715,0.1758148479023796,0.14868270559731045,0.14128594009052714,0.1398262425029931,0.14460346676883978,0.24492789753578476,0.23607500451344957,0.22309800196332183,0.20894954945763058,0.1842777688348683,0.1763866686624605,0.17247285618304822,0.1732110904190594,0.044860099116188955,0.27076237038057593,0.25137359367059303,0.27799400840470617,0.22966325847118252,0.21099449237780102,0.2017387851654935,0.2557943542858809,0.037458581633575884,0.0592444519819405,0.09124159543182678,0.1256867968495956,0.16074503764701983,0.19556121834707865,0.2287373942332588
AF8,0.11862854526899286,0.10049811346991247,0.08903673220349666,0.029760575631512572,0.03737865087995974,0.0,0.14826220475934643,0.1429940466827374,0.13172374388446254,0.11565847407538549,0.07508820144695401,0.05345848303426826,0.03516333819398892,0.029815013356985793,0.17782317425885671,0.17524747865805637,0.16413428111051154,0.14664852923022847,0.10253605267272416,0.08091360404557223,0.0645605150891457,0.05968170724496085,0.2072932591754973,0.20769568665637816,0.19691074755082585,0.1783130993442662,0.13261546062154514,0.11143437282146207,0.09570735519091685,0.08945669618546517,0.23653568605776915,0.24017509159523606,0.22909368484959336,0.20916385331156645,0.1630549656099086,0.1425802890826977,0.12711523771720182,0.1193258039433384,0.2649833070124216,0.27232995719669933,0.2582052365839166,0.23632668601255788,0.19202796918336673,0.1731885568766368,0.15831712202153086,0.1490878557032458,0.059567708804029146,0.2851283304881653,0.27079881270183,0.26672724549239063,0.2086330824089706,0.20174359520451762,0.17889445726103484,0.2384086399034305,0.07205892756601702,0.09630085266525745,0.12535577706003137,0.15588409959516608,0.18602567398339012,0.21357167040393107,0.23383177601526764
F7,0.029834530565634693,0.06078313819907423,0.05965133454831418,0.11885438889474728,0.12952487223684508,0.14826220475934643,1.4156103134155274e-09,0.02974075752096912,0.05914181118646646,0.08763835011772624,0.13871617373535325,0.15872198533361664,0.17254467974574692,0.17769723680445915,0.029791218363155222,0.0438016761425627,0.07277710990531433,0.10423778514629713,0.16417322884552885,0.18853419386429168,0.2043910526707458,0.20705097624375665,0.05956703457444772,0.0703303376071095,0.09511193905400864,0.12555611018620835,0.1891737176896454,0.21734666154218463,0.2361807250557242,0.2359767344402053,0.08933866383639416,0.0996512379144668,0.12094077678890623,0.14843537221432926,0.2108918287086384,0.2421388444022017,0.26699668612742805,0.2637188205297799,0.11913602608155535,0.12958159211578896,0.1475210165083627,0.17062257624216673,0.2250616767854955,0.2544771018300961,0.28424770673662114,0.2816931102076991,0.0894579459756952,0.14896355397545266,0.17314429709229567,0.1787614511892467,0.2374778113194398,0.24492164064610858,0.26498182738561993,0.20855898545796622,0.09804783738321025,0.11448189424147528,0.13529991504393304,0.1576061636082313,0.1790198872408672,0.19688421836029116,0.20776345645157623
F5,0.03506176164818152,0.04357280562803115,0.0575173719777737,0.1136199677115855,0.115550648119039,0.1429940466827374,0.02974075752096912,1.4156103134155274e-09,0.029816008554007113,0.05923293169509669,0.11452100364620878,0.13869720764021726,0.15878700665210854,0.17246609473421168,0.047721854903226384,0.03273223338337597,0.04691690619209498,0.0749508117538049,0.13589274858166628,0.16392955153010028,0.1872552082028253,0.20197216588843933,0.07345904210325634,0.06552038790867201,0.07635302321213758,0.09988881140652496,0.1594355282073522,0.18921437599556687,0.21514260540267452,0.23124370398049054,0.10117936929335608,0.09827809175851926,0.10830699517610644,0.12820757242803307,0.18271946294811217,0.2124163127490647,0.24055380990961933,0.26008056801704815,0.12957838324890283,0.13091115041983806,0.14063326419964575,0.15725439448288908,0.20323308142302152,0.2299038519280202,0.25752467420864944,0.284364721997572,0.08434154775901391,0.1582537850502915,0.1724957024321163,0.18688359325529164,0.24438267773760403,0.236068010823391,0.2723257761652644,0.21521280931218245,0.0795275334444745,0.0876797805018572,0.10563818712772152,0.12880859746946777,0.15394515141124873,0.1786788522929898,0.2003450305647568
F3,0.05344087759550337,0.035323619451067934,0.061803427691899865,0.10519527754100674,0.0982060205444587,0.13172374388446254,0.05914181118646646,0.029816008554007113,0.0,0.029841848604968895,0.08765516927681449,0.11447905146150213,0.13873165696902012,0.15872518830597357,0.07579751821154271,0.0487604976411693,0.03534738696124526,0.04911610103773085,0.10619154907662709,0.13581492197883138,0.16316356472708965,0.1857066418602694,0.09781047172159572,0.07762422794380641,0.07074845721939593,0.08087282907066728,0.13033470319917836,0.1594624595655906,0.18771531659586094,0.2118861031915496,0.12219078718154065,0.10879044372886909,0.1061036533567254,0.11499155872029004,0.15674528969563767,0.18344092591911337,0.21088445466048175,0.2361582078396463,0.14752974991922085,0.14064475557427467,0.14131225372489403,0.14955227861201187,0.1832109516642988,0.20565977767840443,0.22985819246211356,0.2545681324884347,0.0798515081302645,0.17307731579550387,0.17633833256948417,0.19800196962679617,0.24395516279898607,0.22309919929188934,0.2582065036478389,0.22114466739076616,0.06077849714247805,0.059213728378144204,0.07626206599828775,0.10284333418754814,0.13298134113726567,0.16407511895470794,0.19428414557724755
F1,0.0750358979260988,0.04243651639726063,0.07093052581973466,0.09440226491763266,0.07884430973168735,0.11565847407538549,0.08763835011772624,0.05923293169509669,0.029841848604968895,0.0,0.059143601674168156,0.08758850943813533,0.11446227226135035,0.13864136251971357,0.10561438964867195,0.0761930749895364,0.049881951154347265,0.03715721725701873,0.07671808338509006,0.10615728515020866,0.13534551258484095,0.1622393525637357,0.1263820122288883,0.10065938747096025,0.08128353472278688,0.0743493883535721,0.1038595958305863,0.13005808681410902,0.1581176777759937,0.1853628355772297,0.14841926215264567,0.12832916079891601,0.11505842744280857,0.11151926386905114,0.1346011768711011,0.1563930491734097,0.18132136931696843,0.20704831507485666,0.1706225762421667,0.15725678288784173,0.14954623855280008,0.14862497512054343,0.1664791207412398,0.1832737233339331,0.2032177154032363,0.22515312108100105,0.07671882629002584,0.19201201408815438,0.1843254563068471,0.21104709872629387,0.23640877896037335,0.2089494395218138,0.2363271335870758,0.22533386964841856,0.04478163250207765,0.02979136346601186,0.05033916517250254,0.08327686682246019,0.11860534720683945,0.15455979631352956,0.19037011886922195
