subject,model,val_acc,val_bacc,test_acc,test_bacc,epochs,time_s,k_graph,n_classes
00,ChebGCN_2L,0.35454545454545455,0.31406325156325154,0.19090909090909092,0.2041847041847042,41,156.2,6,4
00,ChebGCN_3L,0.39090909090909093,0.3163480038480039,0.21818181818181817,0.19237012987012986,30,114.3,6,4
00,ChebGCNSkip,0.4,0.28508297258297255,0.3181818181818182,0.23196248196248195,17,63.9,6,4
01,ChebGCN_2L,0.37272727272727274,0.31463443963443966,0.22727272727272727,0.24338624338624337,27,102.6,6,4
01,ChebGCN_3L,0.4,0.29166666666666663,0.20909090909090908,0.28703703703703703,60,228.6,6,4
01,ChebGCNSkip,0.3181818181818182,0.2936507936507936,0.21818181818181817,0.2916666666666667,28,106.3,6,4
02,ChebGCN_2L,0.4,0.2726370851370851,0.32727272727272727,0.22916666666666666,21,79.8,6,4
02,ChebGCN_3L,0.38181818181818183,0.29903198653198654,0.2545454545454545,0.25613275613275616,23,87.4,6,4
02,ChebGCNSkip,0.4090909090909091,0.3078102453102453,0.2909090909090909,0.31472462722462724,33,124.3,6,4
03,ChebGCN_2L,0.38181818181818183,0.2996031746031746,0.2909090909090909,0.28601491101491106,24,91.3,6,4
03,ChebGCN_3L,0.36363636363636365,0.326509139009139,0.2,0.22534872534872535,54,206.0,6,4
03,ChebGCNSkip,0.37272727272727274,0.32930495430495427,0.22727272727272727,0.23674242424242423,23,87.2,6,4
04,ChebGCN_2L,0.33636363636363636,0.3103054353054353,0.18181818181818182,0.2567340067340067,43,163.6,6,4
04,ChebGCN_3L,0.4090909090909091,0.33207070707070707,0.38181818181818183,0.25042087542087543,22,83.5,6,4
04,ChebGCNSkip,0.2818181818181818,0.29292929292929293,0.2909090909090909,0.256523569023569,19,71.8,6,4
06,ChebGCN_2L,0.3723404255319149,0.28560371517027866,0.30851063829787234,0.2627403846153846,39,98.8,6,4
06,ChebGCN_3L,0.39361702127659576,0.3095975232198142,0.2127659574468085,0.24190705128205126,52,132.1,6,4
06,ChebGCNSkip,0.30851063829787234,0.3018575851393189,0.2127659574468085,0.24190705128205126,26,64.9,6,4
07,ChebGCN_2L,0.42727272727272725,0.29698773448773447,0.35454545454545455,0.23854617604617603,25,93.9,6,4
07,ChebGCN_3L,0.43636363636363634,0.3210978835978836,0.2909090909090909,0.2238155363155363,27,103.2,6,4
07,ChebGCNSkip,0.4,0.2868265993265993,0.35454545454545455,0.27125420875420875,31,117.5,6,4
08,ChebGCN_2L,0.38181818181818183,0.2930796055796056,0.3181818181818182,0.3067693744164332,47,178.0,6,4
08,ChebGCN_3L,0.3181818181818182,0.26247594997595,0.2545454545454545,0.2328042328042328,20,76.6,6,4
08,ChebGCNSkip,0.37272727272727274,0.29061447811447816,0.34545454545454546,0.2740740740740741,34,129.1,6,4
09,ChebGCN_2L,0.39090909090909093,0.2962962962962963,0.18181818181818182,0.19444444444444442,32,121.2,6,4
09,ChebGCN_3L,0.4090909090909091,0.28255772005772006,0.16363636363636364,0.21572871572871571,30,114.1,6,4
09,ChebGCNSkip,0.41818181818181815,0.32407407407407407,0.16363636363636364,0.25,25,94.6,6,4
