subj_id,cluster_k2,cluster_k3,cluster_k3_best,test_bacc,subject
0,1,1,1,0.2761,P000
1,1,1,1,0.2412,P001
2,0,0,0,0.2648,P002
3,0,0,0,0.2503,P003
4,1,1,1,0.3155,P004
5,1,1,1,0.2211,P005
6,0,0,0,0.1835,P006
7,1,1,1,0.2639,P007
8,0,0,0,0.224,P008
9,1,1,1,0.2103,P009
10,0,0,0,0.2367,P010
11,0,0,0,0.2191,P011
12,1,1,1,0.2095,P012
13,0,0,0,0.2849,P013
14,1,1,1,0.2267,P014
15,0,0,0,0.2934,P015
16,1,1,1,0.2774,P016
17,0,2,2,0.2631,P017
18,1,1,1,0.3333,P018
19,1,1,1,0.2414,P019
20,0,0,0,0.2775,P020
21,1,1,1,0.2838,P021
22,0,0,0,0.2696,P022
23,0,0,0,0.2465,P023
24,0,0,0,0.2038,P024
25,1,1,1,0.2302,P025
26,1,1,1,0.2352,P026
27,0,0,0,0.2572,P027
28,1,1,1,0.2279,P028
29,1,1,1,0.213,P029
30,1,1,1,0.284,P030
31,1,1,1,0.2388,P031
32,0,0,0,0.2114,P032
33,1,1,1,0.271,P033
34,0,0,0,0.2059,P034
35,0,0,0,0.231,P035
36,0,0,0,0.2293,P036
37,1,1,1,0.244,P037
38,0,0,0,0.2341,P038
39,1,1,1,0.2777,P039
40,0,0,0,0.3323,P040
41,1,1,1,0.25,P041
42,1,1,1,0.24,P042
43,0,0,0,0.2568,P043
44,1,1,1,0.3251,P044
45,1,1,1,0.2128,P045
46,1,1,1,0.1735,P046
47,0,0,0,0.206,P047
48,0,0,0,0.2435,P048
49,1,1,1,0.2989,P049
50,0,0,0,0.2338,P050
51,0,0,0,0.256,P051
52,0,0,0,0.2827,P052
53,1,1,1,0.199,P053
54,0,0,0,0.3112,P054
55,0,2,2,0.2388,P055
56,0,0,0,0.2182,P056
57,1,1,1,0.25,P057
58,0,0,0,0.3133,P058
59,1,1,1,0.2611,P059
60,0,0,0,0.2044,P060
61,1,1,1,0.2672,P061
62,1,1,1,0.2541,P062
63,0,2,2,0.2592,P063
64,1,1,1,0.2401,P064
65,0,0,0,0.3238,P065
66,0,0,0,0.2379,P066
67,1,1,1,0.3411,P067
68,0,0,0,0.2447,P068
69,1,1,1,0.25,P069
70,0,0,0,0.2776,P070
71,1,1,1,0.2676,P071
72,0,0,0,0.3142,P072
73,1,1,1,0.2143,P073
