Subject,Test bAcc,Top2 bAcc
P018,0.4394,0.8333
P023,0.3347,0.5027
P028,0.3075,0.5873
P059,0.2975,0.476
P002,0.2973,0.5833
P041,0.2966,0.5655
P036,0.2955,0.5
P070,0.2901,0.3611
P053,0.2895,0.5274
P008,0.2871,0.5492
P049,0.2824,0.5648
P066,0.2819,0.4048
P014,0.279,0.5341
P020,0.2784,0.4827
P058,0.2738,0.4722
P000,0.2731,0.5463
P065,0.2718,0.4722
P044,0.2668,0.5335
P029,0.2664,0.5328
P034,0.2659,0.5317
P022,0.2646,0.5291
P025,0.2631,0.4892
P016,0.2619,0.5238
P009,0.2607,0.5215
P055,0.2599,0.5198
P005,0.2567,0.4907
P032,0.2557,0.5
P011,0.2549,0.4365
P004,0.2546,0.5093
P056,0.2538,0.452
P021,0.2535,0.507
P048,0.2532,0.5063
P046,0.2525,0.4709
P060,0.2512,0.3556
P039,0.2511,0.5022
P026,0.25,0.5
P001,0.25,0.5
P047,0.25,0.5
P012,0.25,0.5
P027,0.25,0.5
P033,0.2498,0.4811
P061,0.2498,0.4811
P064,0.2497,0.4312
P035,0.2484,0.395
P063,0.2465,0.4352
P030,0.246,0.4921
P054,0.2454,0.4907
P013,0.2454,0.4907
P068,0.2439,0.4537
P006,0.2396,0.4792
P003,0.2384,0.4769
P072,0.237,0.474
P015,0.2348,0.3333
P017,0.2346,0.3952
P040,0.2341,0.4683
P045,0.233,0.4659
P050,0.2305,0.4497
P024,0.2305,0.3929
P043,0.2298,0.4596
P038,0.2266,0.4533
P062,0.2264,0.4529
P071,0.224,0.4481
P019,0.2235,0.4471
P057,0.2202,0.4167
P042,0.2198,0.3942
P052,0.2176,0.4352
P051,0.212,0.3889
P069,0.209,0.3704
P007,0.2063,0.4127
P010,0.1984,0.3968
P067,0.1929,0.3858
P037,0.1905,0.3333
P031,0.1825,0.3095
