Subject,W-HGNN (EEG_12),HGNN (EEG_09b),Delta
P018,0.4394,0.25,0.1894
P023,0.3347,0.1966,0.1381
P028,0.3075,0.2287,0.07880000000000001
P059,0.2975,0.2443,0.0532
P002,0.2973,0.2443,0.05300000000000002
P041,0.2966,0.244,0.05259999999999998
P036,0.2955,0.2605,0.034999999999999976
P070,0.2901,0.2502,0.03990000000000005
P053,0.2895,0.2244,0.06509999999999999
P008,0.2871,0.2384,0.04870000000000002
P049,0.2824,0.2559,0.026499999999999968
P066,0.2819,0.2292,0.0527
P014,0.279,0.2419,0.03710000000000002
P020,0.2784,0.3028,-0.024400000000000033
P058,0.2738,0.2458,0.027999999999999997
P000,0.2731,0.1926,0.08050000000000002
P065,0.2718,0.2593,0.012500000000000011
P044,0.2668,0.2235,0.04329999999999998
P029,0.2664,0.2704,-0.003999999999999948
P034,0.2659,0.2932,-0.02729999999999999
P022,0.2646,0.2465,0.018100000000000005
P025,0.2631,0.2914,-0.028299999999999992
P016,0.2619,0.2508,0.011099999999999999
P009,0.2607,0.25,0.010699999999999987
P055,0.2599,0.2424,0.017500000000000016
P005,0.2567,0.2838,-0.027100000000000013
P032,0.2557,0.2443,0.011399999999999993
P011,0.2549,0.2515,0.003400000000000014
P004,0.2546,0.258,-0.003400000000000014
P056,0.2538,0.2483,0.005500000000000033
P021,0.2535,0.2767,-0.0232
P048,0.2532,0.2664,-0.013200000000000045
P046,0.2525,0.1904,0.06209999999999999
P060,0.2512,0.2183,0.032899999999999985
P039,0.2511,0.304,-0.0529
P026,0.25,0.2235,0.026499999999999996
P001,0.25,0.27,-0.020000000000000018
P047,0.25,0.2443,0.005700000000000011
P012,0.25,0.2524,-0.0024000000000000132
P027,0.25,0.2029,0.0471
P033,0.2498,0.2421,0.007699999999999985
P061,0.2498,0.2473,0.0025000000000000022
P064,0.2497,0.1919,0.05780000000000002
P035,0.2484,0.2593,-0.010899999999999965
P063,0.2465,0.2577,-0.011199999999999988
P030,0.246,0.2694,-0.023399999999999976
P054,0.2454,0.2618,-0.01639999999999997
P013,0.2454,0.2443,0.0011000000000000176
P068,0.2439,0.2317,0.012200000000000016
P006,0.2396,0.2841,-0.04450000000000001
P003,0.2384,0.2647,-0.02629999999999999
P072,0.237,0.2365,0.0005000000000000004
P015,0.2348,0.2868,-0.05199999999999999
P017,0.2346,0.2032,0.03140000000000001
P040,0.2341,0.2879,-0.05379999999999999
P045,0.233,0.2565,-0.023499999999999993
P050,0.2305,0.2715,-0.04100000000000001
P024,0.2305,0.2787,-0.04819999999999999
P043,0.2298,0.2244,0.005400000000000016
P038,0.2266,0.2128,0.013800000000000007
P062,0.2264,0.2683,-0.04189999999999999
P071,0.224,0.2115,0.012500000000000011
P019,0.2235,0.2884,-0.06489999999999999
P057,0.2202,0.2251,-0.004899999999999988
P042,0.2198,0.2323,-0.012500000000000011
P052,0.2176,0.2251,-0.007500000000000007
P051,0.212,0.2792,-0.06720000000000001
P069,0.209,0.1966,0.012399999999999994
P007,0.2063,0.25,-0.04369999999999999
P010,0.1984,0.2555,-0.05710000000000001
P067,0.1929,0.231,-0.03810000000000002
P037,0.1905,0.3049,-0.1144
P031,0.1825,0.3181,-0.1356
