Subject,DHSLP (EEG_13b),W-HGNN (EEG_12),Δ vs EEG_12,HGNN (EEG_09b),Δ vs EEG_09b
P070,0.3676,0.2901,0.0775,0.2502,0.1174
P047,0.3406,0.25,0.0906,0.2443,0.0963
P024,0.3173,0.2305,0.0868,0.2787,0.0386
P033,0.317,0.2498,0.0672,0.2421,0.0749
P052,0.3121,0.2176,0.0945,0.2251,0.087
P007,0.3064,0.2063,0.1001,0.25,0.0564
P009,0.3062,0.2607,0.0455,0.25,0.0562
P072,0.3004,0.237,0.0634,0.2365,0.0639
P020,0.2998,0.2784,0.0214,0.3028,-0.003
P061,0.2956,0.2498,0.0458,0.2473,0.0483
P051,0.2939,0.212,0.0819,0.2792,0.0147
P022,0.2864,0.2646,0.0218,0.2465,0.0399
P031,0.2857,0.1825,0.1032,0.3181,-0.0324
P036,0.2809,0.2955,-0.0146,0.2605,0.0204
P054,0.2793,0.2454,0.0339,0.2618,0.0175
P003,0.2791,0.2384,0.0407,0.2647,0.0144
P008,0.2788,0.2871,-0.0083,0.2384,0.0404
P057,0.2781,0.2202,0.0579,0.2251,0.053
P068,0.2775,0.2439,0.0336,0.2317,0.0458
P048,0.2774,0.2532,0.0242,0.2664,0.011
P055,0.2767,0.2599,0.0168,0.2424,0.0343
P021,0.2758,0.2535,0.0223,0.2767,-0.0009
P042,0.2731,0.2198,0.0533,0.2323,0.0408
P071,0.2701,0.224,0.0461,0.2115,0.0586
P035,0.2696,0.2484,0.0212,0.2593,0.0103
P064,0.2691,0.2497,0.0194,0.1919,0.0772
P066,0.2686,0.2819,-0.0133,0.2292,0.0394
P069,0.2663,0.209,0.0573,0.1966,0.0697
P045,0.2652,0.233,0.0322,0.2565,0.0087
P013,0.2642,0.2454,0.0188,0.2443,0.0199
P059,0.2614,0.2975,-0.0361,0.2443,0.0171
P019,0.2593,0.2235,0.0358,0.2884,-0.0291
P060,0.2592,0.2512,0.008,0.2183,0.0409
P046,0.2566,0.2525,0.0041,0.1904,0.0662
P034,0.2554,0.2659,-0.0105,0.2932,-0.0378
P025,0.255,0.2631,-0.0081,0.2914,-0.0364
P002,0.2528,0.2973,-0.0445,0.2443,0.0085
P039,0.2523,0.2511,0.0012,0.304,-0.0517
P058,0.2498,0.2738,-0.024,0.2458,0.004
P006,0.249,0.2396,0.0094,0.2841,-0.0351
P032,0.2484,0.2557,-0.0073,0.2443,0.0041
P001,0.2474,0.25,-0.0026,0.27,-0.0226
P010,0.2471,0.1984,0.0487,0.2555,-0.0084
P037,0.246,0.1905,0.0555,0.3049,-0.0589
P028,0.2447,0.3075,-0.0628,0.2287,0.016
P038,0.2443,0.2266,0.0177,0.2128,0.0315
P005,0.2414,0.2567,-0.0153,0.2838,-0.0424
P000,0.2399,0.2731,-0.0332,0.1926,0.0473
P011,0.2391,0.2549,-0.0158,0.2515,-0.0124
P015,0.2388,0.2348,0.004,0.2868,-0.048
P023,0.237,0.3347,-0.0977,0.1966,0.0404
P044,0.2351,0.2668,-0.0317,0.2235,0.0116
P026,0.2337,0.25,-0.0163,0.2235,0.0102
P041,0.2321,0.2966,-0.0645,0.244,-0.0119
P065,0.2321,0.2718,-0.0397,0.2593,-0.0272
P012,0.2279,0.25,-0.0221,0.2524,-0.0245
P014,0.224,0.279,-0.055,0.2419,-0.0179
P016,0.2228,0.2619,-0.0391,0.2508,-0.028
P030,0.2203,0.246,-0.0257,0.2694,-0.0491
P027,0.2184,0.25,-0.0316,0.2029,0.0155
P004,0.2167,0.2546,-0.0379,0.258,-0.0413
P050,0.2148,0.2305,-0.0157,0.2715,-0.0567
P029,0.2143,0.2664,-0.0521,0.2704,-0.0561
P063,0.214,0.2465,-0.0325,0.2577,-0.0437
P056,0.2116,0.2538,-0.0422,0.2483,-0.0367
P018,0.2102,0.4394,-0.2292,0.25,-0.0398
P062,0.2036,0.2264,-0.0228,0.2683,-0.0647
P049,0.1971,0.2824,-0.0853,0.2559,-0.0588
P067,0.1965,0.1929,0.0036,0.231,-0.0345
P043,0.1953,0.2298,-0.0345,0.2244,-0.0291
P053,0.187,0.2895,-0.1025,0.2244,-0.0374
P040,0.1754,0.2341,-0.0587,0.2879,-0.1125
P017,0.1729,0.2346,-0.0617,0.2032,-0.0303
