Subject,Test bAcc (v2)
P018,0.3788
P046,0.3337
P051,0.326
P065,0.3229
P027,0.318
P048,0.314
P064,0.3068
P056,0.3056
P057,0.2976
P061,0.2883
P050,0.2822
P055,0.2791
P037,0.2773
P031,0.2731
P028,0.2696
P019,0.2694
P022,0.2679
P007,0.2659
P020,0.2633
P054,0.2629
P029,0.2626
P069,0.2619
P033,0.2619
P001,0.2612
P044,0.2595
P024,0.2593
P017,0.2579
P025,0.2563
P026,0.2538
P015,0.2532
P000,0.2526
P005,0.2507
P009,0.2498
P041,0.2496
P060,0.2495
P071,0.2477
P002,0.2463
P003,0.2457
P013,0.2439
P070,0.2431
P011,0.2426
P039,0.2397
P040,0.2366
P047,0.2341
P049,0.2332
P052,0.2292
P062,0.2288
P053,0.2288
P008,0.2287
P014,0.2282
P030,0.2259
P059,0.2238
P023,0.221
P032,0.2209
P043,0.2205
P035,0.2196
P066,0.2177
P036,0.2146
P042,0.2119
P067,0.2119
P034,0.2096
P068,0.2087
P038,0.2035
P058,0.201
P063,0.1993
P004,0.1981
P006,0.1904
P072,0.1831
P045,0.1742
P016,0.1722
P012,0.1677
P010,0.1664
P021,0.1526
