Subject,Test bAcc,Top2 bAcc
P068,0.3636,0.4495
P015,0.3474,0.5
P026,0.3262,0.3981
P001,0.3195,0.4484
P051,0.3172,0.3757
P007,0.3168,0.5595
P065,0.3122,0.3837
P038,0.3057,0.4764
P053,0.3041,0.46
P047,0.3021,0.3704
P014,0.2999,0.5244
P042,0.2888,0.4558
P036,0.2881,0.5206
P028,0.2849,0.4802
P066,0.2812,0.455
P069,0.2811,0.4233
P016,0.2791,0.3796
P044,0.2787,0.367
P064,0.2774,0.4436
P059,0.2771,0.3598
P004,0.2765,0.418
P022,0.2762,0.4286
P063,0.2703,0.4335
P024,0.2669,0.373
P045,0.2642,0.3294
P025,0.2639,0.3519
P037,0.2632,0.3571
P000,0.2629,0.4021
P013,0.2603,0.4372
P031,0.2546,0.4259
P052,0.2535,0.3588
P011,0.2519,0.4285
P034,0.2515,0.3801
P008,0.2494,0.3945
P054,0.2481,0.266
P017,0.2474,0.287
P050,0.2466,0.4217
P041,0.2457,0.3294
P020,0.2437,0.3148
P010,0.2422,0.401
P046,0.2422,0.3918
P012,0.241,0.381
P027,0.2397,0.3287
P061,0.2383,0.4343
P009,0.2358,0.4603
P049,0.2349,0.3624
P070,0.2332,0.4365
P033,0.232,0.4125
P062,0.2313,0.3793
P029,0.2301,0.4324
P032,0.2284,0.3642
P040,0.2265,0.33
P060,0.2243,0.4209
P030,0.2223,0.3095
P002,0.2216,0.3598
P058,0.2169,0.3041
P048,0.216,0.2685
P039,0.2155,0.3359
P056,0.2142,0.3013
P003,0.2116,0.3095
P006,0.2054,0.3357
P043,0.2034,0.2679
P071,0.2027,0.2361
P021,0.2004,0.3544
P019,0.1997,0.3426
P035,0.1994,0.3472
P055,0.1984,0.2685
P005,0.1956,0.243
P057,0.1873,0.327
P023,0.1866,0.3215
P067,0.183,0.2391
P072,0.1573,0.2804
P018,0.1307,0.2614
