Subject,Li et al. (EEG_15),DHSLP-SS (EEG_13b),W-HGNN (EEG_09b),GCN (EEG_08b),Pretrain+CAL (EEG_14)
P004,0.375,0.2167,0.258,0.3155,
P068,0.3541666666666667,0.2775,0.2317,0.2447,0.2622
P062,0.3333333333333333,0.2036,0.2683,0.2541,0.1921
P049,0.32916666666666666,0.1971,0.2559,0.2989,
P014,0.32708333333333334,0.224,0.2419,0.2267,
P051,0.3208333333333333,0.2939,0.2792,0.256,
P063,0.3208333333333333,0.214,0.2577,0.2592,0.1999
P013,0.31875,0.2642,0.2443,0.2849,
P055,0.31666666666666665,0.2767,0.2424,0.2388,
P009,0.3145833333333333,0.3062,0.25,0.2103,
P061,0.3083333333333333,0.2956,0.2473,0.2672,0.2287
P072,0.3041666666666667,0.3004,0.2365,0.3142,0.283
P000,0.2916666666666667,0.2399,0.1926,0.2761,
P045,0.2916666666666667,0.2652,0.2565,0.2128,
P029,0.2875,0.2143,0.2704,0.213,
P023,0.2875,0.237,0.1966,0.2465,
P071,0.2875,0.2701,0.2115,0.2676,0.2236
P010,0.28541666666666665,0.2471,0.2555,0.2367,
P037,0.28125,0.246,0.3049,0.244,
P003,0.2791666666666667,0.2791,0.2647,0.2503,
P025,0.27291666666666664,0.255,0.2914,0.2302,
P012,0.27291666666666664,0.2279,0.2524,0.2095,
P035,0.2666666666666666,0.2696,0.2593,0.231,
P001,0.26458333333333334,0.2474,0.27,0.2412,
P007,0.26458333333333334,0.3064,0.25,0.2639,
P064,0.2625,0.2691,0.1919,0.2401,0.2237
P047,0.24375,0.3406,0.2443,0.206,
P054,0.24375,0.2793,0.2618,0.3112,
P043,0.23958333333333334,0.1953,0.2244,0.2568,
P070,0.2375,0.3676,0.2502,0.2776,0.2603
P060,0.2333333333333333,0.2592,0.2183,0.2044,0.2591
P040,0.2333333333333333,0.1754,0.2879,0.3323,
P067,0.23125,0.1965,0.231,0.3411,0.2111
P052,0.22916666666666669,0.3121,0.2251,0.2827,
P044,0.22708333333333333,0.2351,0.2235,0.3251,
P065,0.225,0.2321,0.2593,0.3238,0.3207
P056,0.225,0.2116,0.2483,0.2182,
P069,0.22291666666666665,0.2663,0.1966,0.25,0.2667
P050,0.21666666666666667,0.2148,0.2715,0.2338,
P022,0.20833333333333331,0.2864,0.2465,0.2696,
P031,0.20416666666666666,0.2857,0.3181,0.2388,
P048,0.20208333333333334,0.2774,0.2664,0.2435,
P020,0.19583333333333333,0.2998,0.3028,0.2775,
P058,0.19166666666666668,0.2498,0.2458,0.3133,
P034,0.19166666666666668,0.2554,0.2932,0.2059,
P057,0.18541666666666667,0.2781,0.2251,0.25,
P032,0.18333333333333335,0.2484,0.2443,0.2114,
P039,0.18333333333333335,0.2523,0.304,0.2777,
P017,0.17916666666666667,0.1729,0.2032,0.2631,
P066,0.17708333333333334,0.2686,0.2292,0.2379,0.2144
P053,0.17291666666666666,0.187,0.2244,0.199,
P019,0.17083333333333334,0.2593,0.2884,0.2414,
P038,0.16041666666666665,0.2443,0.2128,0.2341,
P059,0.15416666666666667,0.2614,0.2443,0.2611,
P030,0.14791666666666664,0.2203,0.2694,0.284,
P026,0.14583333333333331,0.2337,0.2235,0.2352,
P002,0.14166666666666666,0.2528,0.2443,0.2648,
P033,0.125,0.317,0.2421,0.271,
