Subject,Val bAcc,Test bAcc,xi,alpha,beta,f
P004,0.2576,0.375,0.6,64.0,0.0625,70
P068,0.2842,0.3542,0.7,16.0,0.015625,50
P062,0.2656,0.3333,0.8,0.015625,64.0,10
P049,0.264,0.3292,0.8,16.0,0.0625,90
P014,0.2525,0.3271,0.8,64.0,0.0625,60
P051,0.2969,0.3208,0.7,16.0,0.015625,50
P063,0.2531,0.3208,0.8,1.0,4.0,10
P013,0.2674,0.3187,0.8,16.0,0.015625,70
P055,0.2551,0.3167,0.6,16.0,0.015625,90
P009,0.2632,0.3146,0.8,16.0,0.015625,10
P061,0.2694,0.3083,0.8,64.0,0.0625,50
P072,0.2719,0.3042,0.8,0.015625,1.0,10
P000,0.2638,0.2917,0.6,16.0,0.015625,40
P045,0.2551,0.2917,0.8,0.015625,4.0,10
P029,0.2664,0.2875,0.5,64.0,0.015625,20
P023,0.2602,0.2875,0.6,64.0,0.015625,80
P071,0.2717,0.2875,0.7,64.0,0.015625,20
P010,0.2551,0.2854,0.8,0.015625,64.0,20
P037,0.2594,0.2812,0.8,0.0625,16.0,10
P003,0.2599,0.2792,0.8,16.0,0.015625,80
P025,0.2562,0.2729,0.7,64.0,0.0625,70
P012,0.2576,0.2729,0.8,16.0,0.015625,60
P035,0.2551,0.2667,0.8,64.0,0.015625,50
P001,0.2698,0.2646,0.8,16.0,0.015625,50
P007,0.2839,0.2646,0.8,64.0,0.0625,60
P064,0.2648,0.2625,0.6,64.0,0.0625,40
P047,0.2872,0.2437,0.8,16.0,0.015625,50
P054,0.2808,0.2437,0.8,64.0,0.0625,70
P043,0.2754,0.2396,0.7,64.0,0.015625,30
P070,0.2607,0.2375,0.7,64.0,0.015625,70
P060,0.2789,0.2333,0.7,64.0,0.0625,40
P040,0.2566,0.2333,0.5,64.0,0.015625,70
P067,0.2647,0.2313,0.7,64.0,0.015625,20
P052,0.2793,0.2292,0.8,64.0,0.0625,70
P044,0.3137,0.2271,0.8,4.0,0.015625,90
P065,0.2846,0.225,0.8,16.0,0.015625,70
P056,0.2625,0.225,0.8,0.0625,16.0,10
P069,0.2627,0.2229,0.7,16.0,0.015625,60
P050,0.2632,0.2167,0.8,4.0,16.0,10
P022,0.2538,0.2083,0.6,64.0,0.015625,60
P031,0.2669,0.2042,0.7,16.0,0.015625,50
P048,0.2566,0.2021,0.8,0.25,64.0,10
P020,0.2562,0.1958,0.8,0.0625,16.0,10
P058,0.2648,0.1917,0.8,64.0,0.0625,80
P034,0.2848,0.1917,0.7,64.0,0.015625,70
P057,0.2589,0.1854,0.7,64.0,0.015625,20
P032,0.2562,0.1833,0.7,64.0,0.015625,40
P039,0.2582,0.1833,0.7,16.0,0.015625,50
P017,0.2545,0.1792,0.8,4.0,0.015625,90
P066,0.2759,0.1771,0.7,64.0,0.015625,30
P053,0.2784,0.1729,0.7,16.0,0.015625,40
P019,0.2551,0.1708,0.6,64.0,0.0625,40
P038,0.2531,0.1604,0.8,0.0625,64.0,10
P059,0.2667,0.1542,0.7,64.0,0.0625,60
P030,0.2616,0.1479,0.7,16.0,0.015625,50
P026,0.3018,0.1458,0.8,64.0,0.25,90
P002,0.252,0.1417,0.6,64.0,0.015625,10
P033,0.2618,0.125,0.7,16.0,0.015625,70
