Subject,cluster_graph,cluster_hypergraph,bacc_EEG_12,bacc_EEG_13
P000,0,0,0.2731,0.2264
P001,0,0,0.25,0.275
P002,1,1,0.2973,0.1813
P003,1,1,0.2384,0.225
P004,0,0,0.2546,0.2765
P005,0,0,0.2567,0.2075
P006,1,1,0.2396,0.2064
P007,0,0,0.2063,0.3064
P008,1,1,0.2871,0.2788
P009,0,0,0.2607,0.3062
P010,1,1,0.1984,0.2471
P011,1,1,0.2549,0.2391
P012,0,0,0.25,0.2279
P013,1,1,0.2454,0.2642
P014,0,0,0.279,0.224
P015,1,1,0.2348,0.2388
P016,0,0,0.2619,0.2228
P017,1,1,0.2346,0.1729
P018,0,0,0.4394,0.2102
P019,0,0,0.2235,0.2593
P020,1,1,0.2784,0.2998
P021,0,0,0.2535,0.2758
P023,1,1,0.3347,0.237
P024,1,1,0.2305,0.3173
P025,0,0,0.2631,0.255
P026,0,0,0.25,0.2337
P027,1,1,0.25,0.2184
P028,0,0,0.3075,0.2447
P029,0,0,0.2664,0.2143
P030,0,0,0.246,0.2203
P031,0,0,0.1825,0.2857
P032,1,1,0.2557,0.2484
P033,0,0,0.2498,0.317
P034,1,1,0.2659,0.2554
P035,1,1,0.2484,0.2696
P036,1,1,0.2955,0.2809
P037,0,0,0.1905,0.246
P038,1,1,0.2266,0.2443
P039,0,0,0.2511,0.2523
P040,1,1,0.2341,0.1754
P041,0,0,0.2966,0.2321
P042,0,0,0.2198,0.2731
P043,1,1,0.2298,0.1953
P044,0,0,0.2668,0.2351
P045,0,0,0.233,0.2652
P046,0,0,0.2525,0.2566
P047,1,1,0.25,0.3406
P048,1,1,0.2532,0.2774
P049,0,0,0.2824,0.1971
P050,1,1,0.2305,0.2148
P051,1,1,0.212,0.2939
P052,1,1,0.2176,0.3121
P053,0,0,0.2895,0.187
P054,1,1,0.2454,0.2793
P055,1,1,0.2599,0.2767
P056,1,1,0.2538,0.2116
P057,0,0,0.2202,0.2781
P058,1,1,0.2738,0.2498
P059,0,0,0.2975,0.2614
P060,1,1,0.2512,0.2592
P061,0,0,0.2498,0.2956
P062,0,0,0.2264,0.2036
P063,1,1,0.2465,0.214
P064,0,0,0.2497,0.2691
P065,1,1,0.2718,0.2321
P066,1,1,0.2819,0.2686
P067,0,0,0.1929,0.1965
P068,1,1,0.2439,0.2775
P069,0,1,0.209,0.2663
P070,1,1,0.2901,0.3676
P071,0,0,0.224,0.2701
P072,1,1,0.237,0.3004
P073,0,0,,
