Subject,dev_C0,dev_C1,dev_C2,dev_C3,acc_EEG_13,dev_mean
P000,0.030990036,0.029814398,0.032109696,0.030596897,0.2399,0.030877758
P001,0.025398914,0.024997786,0.025521869,0.024711229,0.2474,0.02515745
P002,0.033151012,0.03259901,0.031673007,0.031684678,0.2528,0.032276925
P003,0.0339477,0.03411012,0.034407686,0.03275306,0.2791,0.033804644
P004,0.03141619,0.031007942,0.031182315,0.030076558,0.2167,0.03092075
P005,0.042024616,0.04223906,0.04270742,0.04215779,0.2414,0.042282224
P006,0.037648007,0.037470844,0.037566423,0.036842767,0.249,0.03738201
P007,0.033272818,0.03265641,0.032925326,0.03215397,0.3064,0.032752134
P008,0.04367613,0.04268351,0.042840023,0.041816276,0.2788,0.042753983
P009,0.037617724,0.03685495,0.036864642,0.036073975,0.3062,0.03685282
P010,0.03751191,0.03773961,0.03750061,0.036871694,0.2471,0.037405953
P011,0.039069347,0.038044244,0.03931869,0.038342092,0.2391,0.038693592
P012,0.0355428,0.03703198,0.035471067,0.03563221,0.2279,0.035919514
P013,0.033361353,0.03354562,0.034110643,0.032757882,0.2642,0.033443876
P014,0.034871954,0.03417842,0.034164235,0.034355693,0.224,0.034392573
P015,0.034864552,0.035400867,0.034627452,0.03359396,0.2388,0.034621708
P016,0.032740977,0.03240158,0.032492317,0.031838823,0.2228,0.032368425
P017,0.03663356,0.035920892,0.03633649,0.03554659,0.1729,0.036109384
P018,0.03210837,0.031471886,0.033162754,0.031749193,0.2102,0.03212305
P019,0.03201881,0.031260956,0.031220743,0.030702677,0.2593,0.031300794
P020,0.038821246,0.03884979,0.038135376,0.038435545,0.2998,0.03856049
P021,0.024155848,0.023480298,0.023386125,0.02240767,0.2758,0.023357484
P022,0.05655384,0.059381157,0.057520248,0.057578564,0.2864,0.05775845
P023,0.04698085,0.047360975,0.046718936,0.046562273,0.237,0.04690576
P024,0.036699057,0.0361156,0.03632339,0.035725717,0.3173,0.036215942
P025,0.033156108,0.03303844,0.03290527,0.03233082,0.255,0.032857656
P026,0.027363466,0.026961591,0.027093494,0.026736515,0.2337,0.027038766
P027,0.042238247,0.0413991,0.04214129,0.041057013,0.2184,0.04170891
P028,0.030162763,0.030123023,0.030351216,0.029898947,0.2447,0.030133987
P029,0.03377854,0.033015978,0.03333017,0.03271933,0.2143,0.033211004
P030,0.03560137,0.034642205,0.0343836,0.034122027,0.2203,0.034687303
P031,0.035808273,0.03508206,0.03479826,0.035387274,0.2857,0.03526897
P032,0.03583163,0.03563118,0.035995226,0.03468625,0.2484,0.035536073
P033,0.033531543,0.032547373,0.03359488,0.03301979,0.317,0.033173397
P034,0.03680803,0.035610233,0.03643006,0.03514967,0.2554,0.0359995
P035,0.033089083,0.032339137,0.032487307,0.031690508,0.2696,0.03240151
P036,0.03844073,0.037975866,0.03840191,0.037497837,0.2809,0.038079087
P037,0.04001559,0.038492624,0.038968135,0.0387961,0.246,0.03906811
P038,0.038300708,0.03716291,0.037993655,0.036578614,0.2443,0.037508972
P039,0.029458476,0.02945825,0.029303709,0.028707441,0.2523,0.02923197
P040,0.032912284,0.032077953,0.032089233,0.031178143,0.1754,0.032064404
P041,0.045960907,0.046951126,0.047174357,0.04468004,0.2321,0.046191607
P042,0.026035223,0.025311785,0.02566432,0.024854803,0.2731,0.025466533
P043,0.02970911,0.029149657,0.029501159,0.028195046,0.1953,0.029138742
P044,0.025863865,0.025813188,0.025910417,0.025295546,0.2351,0.025720755
P045,0.027954109,0.027485779,0.02809796,0.02607148,0.2652,0.027402332
P046,0.029687254,0.029326078,0.029498277,0.028680652,0.2566,0.029298065
P047,0.041492295,0.04224753,0.04269425,0.041540552,0.3406,0.041993655
P048,0.03028524,0.029615898,0.029883828,0.029165866,0.2774,0.029737707
P049,0.034383655,0.034271833,0.03505561,0.03420921,0.1971,0.034480076
P050,0.038758464,0.03823348,0.038253788,0.03796067,0.2148,0.038301602
P051,0.030769981,0.029681437,0.031655136,0.030175205,0.2939,0.03057044
P052,0.03178186,0.03019691,0.03071725,0.030680325,0.3121,0.030844089
P053,0.030569699,0.030110432,0.02968001,0.029572831,0.187,0.029983241
P054,0.030520804,0.031427424,0.030776165,0.030358745,0.2793,0.030770786
P055,0.04146403,0.04004178,0.04118566,0.04080925,0.2767,0.04087518
P056,0.029466597,0.027817473,0.029074518,0.02755091,0.2116,0.028477374
P057,0.034912977,0.035644982,0.03539037,0.034173988,0.2781,0.03503058
P058,0.032332394,0.031875268,0.03186625,0.031678576,0.2498,0.03193812
P059,0.040219963,0.03837878,0.038567066,0.037538342,0.2614,0.03867604
P060,0.03199665,0.030846767,0.031018957,0.030665487,0.2592,0.031131964
P061,0.030241052,0.029739648,0.029816933,0.029130774,0.2956,0.0297321
P062,0.027827734,0.028062826,0.027718848,0.027254002,0.2036,0.027715852
P063,0.036133334,0.03509585,0.035731845,0.034793463,0.214,0.035438623
P064,0.033143584,0.032267515,0.032154433,0.03151848,0.2691,0.032271005
P065,0.029864501,0.029903049,0.029209955,0.029469937,0.2321,0.029611861
P066,0.031007636,0.030997781,0.03117036,0.030202897,0.2686,0.030844668
P067,0.040705606,0.039550032,0.04109992,0.039734323,0.1965,0.04027247
P068,0.03139392,0.031997833,0.031440128,0.031212114,0.2775,0.031511
P069,0.05049162,0.049363866,0.049089283,0.049133286,0.2663,0.049519513
P070,0.03311808,0.032629665,0.032773033,0.03215019,0.3676,0.03266774
P071,0.035007577,0.03512402,0.03448951,0.034715015,0.2701,0.03483403
P072,0.03602213,0.034915026,0.03508993,0.03466866,0.3004,0.035173938
P073,0.04351977,0.043298695,0.04286588,0.04127813,,0.04274062
