Subject,within_consistency,fisher_ratio,alpha_power,trial_variance,cluster_func,bacc
P000,0.08851701766252518,2.7073754154116614e-06,0.021466044709086418,1.0,0,0.2731
P001,0.09848090261220932,2.468226966811926e-06,0.0210892241448164,1.0,0,0.25
P002,0.10128744691610336,1.4185261534294114e-06,0.05100139603018761,1.0,0,0.2973
P003,0.11642196029424667,1.5342931192208198e-06,0.04389367997646332,1.0,0,0.2384
P004,0.08517735451459885,2.351258899579989e-06,0.012726208195090294,1.0,0,0.2546
P005,0.0945955365896225,3.613925855461275e-06,0.031756091862916946,1.0,0,0.2567
P006,0.11488397419452667,1.6039103911680286e-06,0.025401748716831207,1.0,0,0.2396
P007,0.09432073682546616,2.6146915388380876e-06,0.018510855734348297,1.0,0,0.2063
P008,0.1032346710562706,1.2986085948796244e-06,0.05257922783493996,1.0,0,0.2871
P009,0.12358197569847107,2.9316497602849267e-06,0.01184738427400589,1.0,0,0.2607
P010,0.12019722163677216,1.4446687828240101e-06,0.041075777262449265,1.0,0,0.1984
P011,0.0925164520740509,2.1475404992088443e-06,0.038010239601135254,1.0,0,0.2549
P012,0.09118549525737762,2.6956695364788175e-06,0.011407538317143917,1.0,0,0.25
P013,0.10013357549905777,1.953441824298352e-06,0.028415890410542488,1.0,0,0.2454
P014,0.08909095078706741,2.512743094484904e-06,0.034112416207790375,1.0,0,0.279
P015,0.11983894556760788,2.078802253890899e-06,0.038199443370103836,1.0,0,0.2348
P016,0.09450796246528625,3.2535544960410334e-06,0.02402951754629612,1.0,0,0.2619
P017,0.09510345011949539,7.982520742189081e-07,0.098330557346344,1.0,0,0.2346
P018,0.10008519887924194,2.6970838007400744e-06,0.01643352396786213,1.0,0,0.4394
P019,0.09797161817550659,3.1346551168098813e-06,0.014368549920618534,1.0,0,0.2235
P020,0.11963467299938202,9.738239441503538e-07,0.023830894380807877,1.0,0,0.2784
P021,0.10703247785568237,2.4359678718610667e-06,0.014401798136532307,1.0,0,0.2535
P022,0.09527620673179626,1.665706463427341e-06,0.011324374936521053,1.0,0,0.2646
P023,0.11782831698656082,1.033667672345473e-06,0.009987551718950272,1.0,0,0.3347
P024,0.14320430159568787,2.340161472602631e-06,0.01883292756974697,1.0,0,0.2305
P025,0.09403642266988754,2.7358858005754882e-06,0.018246492370963097,1.0,0,0.2631
P026,0.0922098234295845,2.707690782699501e-06,0.013995613902807236,1.0,0,0.25
P027,0.11585234105587006,2.878778104786761e-06,0.032510410994291306,1.0,0,0.25
P028,0.10564129054546356,2.9384150366240647e-06,0.023361125960946083,1.0,0,0.3075
P029,0.08661124110221863,2.208758132837829e-06,0.025155624374747276,1.0,0,0.2664
P030,0.10011764615774155,2.997710680574528e-06,0.017738111317157745,1.0,0,0.246
P031,0.09088689088821411,2.540169134590542e-06,0.03684831038117409,1.0,0,0.1825
P032,0.09819164872169495,1.023265326693945e-06,0.07353305071592331,1.0,0,0.2557
P033,0.08906341344118118,3.157872470183065e-06,0.01474506501108408,1.0,0,0.2498
P034,0.09184010326862335,1.610910317140224e-06,0.05797062814235687,1.0,0,0.2659
P035,0.09565582126379013,1.6602473351667868e-06,0.0176370982080698,1.0,0,0.2484
P036,0.12207584828138351,1.856320182014315e-06,0.05263202264904976,1.0,0,0.2955
P037,0.09104317426681519,2.2225401608011452e-06,0.04445187374949455,1.0,0,0.1905
P038,0.11610939353704453,1.2040156889270293e-06,0.02922847867012024,1.0,0,0.2266
P039,0.08971203863620758,2.8009289962938055e-06,0.030531123280525208,1.0,0,0.2511
P040,0.12385539710521698,1.5056501752042095e-06,0.06131412088871002,1.0,0,0.2341
P041,0.09360063076019287,2.1779312646685867e-06,0.012646712362766266,1.0,0,0.2966
P042,0.10327545553445816,3.657686875158106e-06,0.021354079246520996,1.0,0,0.2198
P043,0.12408213317394257,3.204482254659524e-06,0.02567354403436184,1.0,0,0.2298
P044,0.09387767314910889,2.3566969957755646e-06,0.0157989040017128,1.0,0,0.2668
P045,0.1179574504494667,2.408790351182688e-06,0.015248858369886875,1.0,0,0.233
P046,0.09302882105112076,3.0207897907530423e-06,0.02124285325407982,1.0,0,0.2525
P047,0.12222576141357422,9.57076167651394e-07,0.03741031512618065,1.0,0,0.25
P048,0.09983003884553909,2.340535047551384e-06,0.01728072389960289,1.0,0,0.2532
P049,0.1121101900935173,3.4916922686534235e-06,0.015541431494057178,1.0,0,0.2824
P050,0.11786511540412903,1.6705018879292766e-06,0.03581508621573448,1.0,0,0.2305
P051,0.1398138552904129,8.499831096742128e-07,0.0780661478638649,1.0,0,0.212
P052,0.10109825432300568,2.1566179384535644e-06,0.05694148316979408,1.0,0,0.2176
P053,0.10217184573411942,3.120347173535265e-06,0.019860390573740005,1.0,0,0.2895
P054,0.09392739832401276,1.3438485666483757e-06,0.05540618672966957,1.0,0,0.2454
P055,0.1119101494550705,6.871290452181711e-07,0.09811792522668839,1.0,0,0.2599
P056,0.10589674860239029,1.3284654869494261e-06,0.05013718083500862,1.0,0,0.2538
P057,0.16328667104244232,3.4096779018000234e-06,0.016726795583963394,1.0,0,0.2202
P058,0.11276066303253174,1.3643045804201392e-06,0.02542949840426445,1.0,0,0.2738
P059,0.08816118538379669,2.3081593099050224e-06,0.03330521658062935,1.0,0,0.2975
P060,0.10848808288574219,2.008754563576076e-06,0.024405965581536293,1.0,0,0.2512
P061,0.0938897654414177,2.5115307380474405e-06,0.017966298386454582,1.0,0,0.2498
P062,0.09101461619138718,2.3988563953025732e-06,0.01690290868282318,1.0,0,0.2264
P063,0.1111404150724411,7.78051514771505e-07,0.06855186074972153,1.0,0,0.2465
