ch_i,ch_j,idx_i,idx_j,raw,pruned,diff
F3,Oz,10,55,26,5,-21
F3,PO8,10,54,14,1,-13
PO8,Oz,54,55,13,1,-12
F3,C3,10,26,9,0,-9
F5,Oz,9,55,8,0,-8
F3,FT8,10,23,8,1,-7
F3,TP7,10,32,7,0,-7
FT8,C3,23,26,7,1,-6
F5,F3,9,10,7,0,-7
FT8,Oz,23,55,7,1,-6
F3,AFz,10,56,7,0,-7
Oz,AFz,55,56,7,0,-7
F5,PO8,9,54,7,0,-7
F1,FC1,11,19,6,0,-6
F3,FC1,10,19,6,2,-4
C3,Oz,26,55,6,0,-6
F3,F6,10,14,6,2,-4
P3,PO8,42,54,6,1,-5
FC3,FC1,18,19,6,1,-5
TP7,Oz,32,55,6,0,-6
FC1,C2,19,28,6,0,-6
F3,P6,10,46,5,0,-5
Fp1,F3,3,10,5,0,-5
F1,C2,11,28,5,0,-5
FT8,TP7,23,32,5,0,-5
FC3,FT8,18,23,5,0,-5
FC1,FT8,19,23,5,0,-5
C3,TP7,26,32,5,0,-5
F8,Oz,15,55,4,0,-4
C2,P3,28,42,4,2,-2
F3,O1,10,51,4,0,-4
F1,FC3,11,18,4,0,-4
F7,CP6,8,38,4,1,-3
F1,FC4,11,21,4,0,-4
FP2,Oz,4,55,4,2,-2
F1,FT8,11,23,4,0,-4
F3,P3,10,42,4,0,-4
F2,P2,12,44,4,0,-4
FT8,C2,23,28,4,0,-4
F3,FC3,10,18,4,2,-2
FC3,C2,18,28,4,0,-4
FC3,Oz,18,55,4,2,-2
FP2,F3,4,10,4,1,-3
TP7,PO8,32,54,4,0,-4
F3,C2,10,28,4,0,-4
F6,Oz,14,55,4,2,-2
FC3,FC4,18,21,4,0,-4
P6,Oz,46,55,4,0,-4
FC1,Oz,19,55,4,1,-3
FC1,PO8,19,54,4,0,-4
F1,P2,11,44,4,0,-4
F6,PO8,14,54,4,0,-4
F7,F3,8,10,4,0,-4
AF4,PO8,5,54,4,0,-4
FC1,FC4,19,21,3,0,-3
FT7,Oz,16,55,3,1,-2
O1,AFz,51,56,3,0,-3
AF7,AF3,1,2,3,0,-3
F2,F8,12,15,3,0,-3
F2,FC2,12,20,3,1,-2
F3,P4,10,45,3,0,-3
FC4,C2,21,28,3,0,-3
F6,FC1,14,19,3,2,-1
AF7,FC2,1,20,3,0,-3
TP8,FCz,39,58,3,0,-3
FC1,FC2,19,20,3,0,-3
AF7,PO8,1,54,3,0,-3
F6,P3,14,42,3,1,-2
T5,FPz,40,48,3,0,-3
FC3,PO8,18,54,3,2,-1
F3,CP6,10,38,3,0,-3
F3,TP8,10,39,3,0,-3
TP7,AFz,32,56,3,0,-3
FT8,CP1,23,35,3,0,-3
FC2,T5,20,40,3,0,-3
TP7,CP4,32,37,3,0,-3
TP7,CP2,32,36,3,1,-2
Fp1,F6,3,14,3,1,-2
FC2,P2,20,44,3,0,-3
FC2,FPz,20,48,3,2,-1
FC2,PO8,20,54,3,0,-3
CP2,Oz,36,55,3,0,-3
F3,FCz,10,58,3,0,-3
Fp1,P6,3,46,3,1,-2
AF3,T3,2,24,3,1,-2
F3,PO4,10,53,3,0,-3
F3,C6,10,30,3,1,-2
F3,C1,10,27,3,0,-3
F3,F8,10,15,3,0,-3
F3,FC4,10,21,3,1,-2
C2,Oz,28,55,3,0,-3
C2,PO8,28,54,3,0,-3
C3,Fz,26,57,3,0,-3
C3,AFz,26,56,3,0,-3
AF4,F1,5,11,3,0,-3
F3,FT7,10,16,3,0,-3
FC4,Oz,21,55,3,2,-1
F3,CP2,10,36,3,0,-3
C4,O2,29,52,3,0,-3
FP2,FC3,4,18,3,0,-3
C1,Oz,27,55,3,0,-3
F3,CP5,10,33,3,0,-3
FT8,AFz,23,56,3,0,-3
FT8,Fz,23,57,3,0,-3
F5,TP8,9,39,3,0,-3
C1,AFz,27,56,3,0,-3
AF4,F3,5,10,3,0,-3
C2,P6,28,46,3,1,-2
C2,O2,28,52,3,1,-2
FT8,P4,23,45,3,0,-3
C3,FCz,26,58,3,0,-3
